imsi_prefix,date,Incoming data,Outgoing data,cdrs
46697-Taiwan Cellular Corp-TWNPC,11-05-2018,2046,1041,119
47001-GrameenPhone-BGDGP,11-05-2018,8,2,7
50212-Maxis-MYSBC,11-05-2018,0,0,8
50216-DiGi Telecommunications -MYSMT,11-05-2018,12788,2417,3610
50219-Celcom-MYSCC,11-05-2018,14,3,6
50501-Telstra -AUSTA,11-05-2018,85990,23442,22844
50502-Optus Communications-AUSOP,11-05-2018,19823,6471,17055
51001-PT Satelindo Palapa-IDNSL,11-05-2018,397,48,22
51010-PT Telkomsel-IDNTS,11-05-2018,2044,915,420
51502-Globe Telecom -PHLGT,11-05-2018,9,6,11
52000-Thailand, True Move-THACT,11-05-2018,201,186,137
52003-AIS-THAWN,11-05-2018,129505,28527,7838
52004-Real Future Thailand-THACA,11-05-2018,211,34,16
52005-Thailand DTAC-THADT,11-05-2018,1515,413,133
52018-Total Access Communications-THAWP,11-05-2018,1,1,9
52501-Singtel GSM 900-SGPST,11-05-2018,18960,6671,2276
52505-StarHub-SGPSH,11-05-2018,2349,875,307
52802-B-Mobile Communications Sdn Bhd-BRNFT,11-05-2018,0,0,1
53001-Vodafone New Zealand-NZLBS,11-05-2018,782,142,343
53005-Telecom-NZLTM,11-05-2018,11171,2948,3284
53024-NZ Communications-NZLNH,11-05-2018,800,314,320
60201-Mobilnil-EGYAR,11-05-2018,3373,1042,1072
60203-Etisalat - Egypt-EGYEM,11-05-2018,451,518,71
60303-Wataniya-DZAWT,11-05-2018,2,1,9
60400-Medi Telecom-MARMT,11-05-2018,837,87,187
60401-IAM-MARM1,11-05-2018,143,39,61
60402-Wana Morocco-MARM3,11-05-2018,0,0,3
60502-Tunisie Telecom-TUNTT,11-05-2018,9,1,6
60801-Sonatel-SENAZ,11-05-2018,19,8,8
61203-Orange Cote d'Ivoire-CIV03,11-05-2018,0,0,2
61701-Cellplus Mobile Communications-MUSCP,11-05-2018,2,1,13
62001-Scancom -GHASC,11-05-2018,952,156,307
62006-Airtel Ghana-GHAZN,11-05-2018,0,3,81
62130-MTN-NGAMN,11-05-2018,1007,469,2311
62150-Globacom - Nigeria-NGAGM,11-05-2018,136,26,157
62160-Etisalat Nigeria-NGAEM,11-05-2018,189,50,5273
63102-Unitel-AGOUT,11-05-2018,1,1,54
63510-Rwandacell - Rwanda-RWAMN,11-05-2018,1,3,131
63902-Safaricom -KENSA,11-05-2018,107,86,223
64005-Celtel Tanzania-TZACT,11-05-2018,1,7,86
64101-Celtel Uganda-UGACE,11-05-2018,0,2,196
64110-MTN-UGAMN,11-05-2018,2,0,3
64111-Uganda Telecom-UGATL,11-05-2018,2,1,3
