imsi,date,recordcount
26803-Optimus -PRTOP,23-05-2018,15090
26806-TMN-PRTTM,23-05-2018,12551
27001-Luxembourg P&T-LUXPT,23-05-2018,2812
27077-Tango -LUXTG,23-05-2018,311
27099-VOX Mobile - Luxembourg-LUXVM,23-05-2018,1141
27201-Vodafone Ireland-IRLEC,23-05-2018,4143
27202-O2 Ireland-IRLDF,23-05-2018,4945
27203-Meteor-IRLME,23-05-2018,47581
27401-Landssimi Islands -ISLPS,23-05-2018,161
27402-TAL -ISLTL,23-05-2018,88
27404-IMC - Iceland-ISLVW,23-05-2018,6
27411-Nova Iceland-ISLK9,23-05-2018,330
27411-Nova Efh-ISLNO,23-05-2018,330
27601-AMC (Albanian Mobile) -ALBAM,23-05-2018,38
27602-Vodafone Albania-ALBVF,23-05-2018,1
27801-Vodafone Malta-MLTTL,23-05-2018,53
27821-Go Mobile -MLTGO,23-05-2018,689
28001-Cyprus Telecommunications Author-CYPCT,23-05-2018,214
28010-Scancom (Cyprus)-CYPSC,23-05-2018,6944
28020-CYPRUS Primtel-CYPPT,23-05-2018,109
28202-Magticom-GEOMA,23-05-2018,15
28305-Vivacell-ARM05,23-05-2018,3
28310-Orange-ARMOR,23-05-2018,40
28401-MobiTel AD Bulgaria-BGR01,23-05-2018,380
28403-Bulgarian Telecom -  Bulgaria-BGRVA,23-05-2018,6228
28405-Globul - Cosmo Bulgaria -BGRCM,23-05-2018,22879
28601-Turkcell-TURTC,23-05-2018,4079
28603-IS TIM-TURIS,23-05-2018,426
28604-Aycell - Turkey-TURAC,23-05-2018,3
29001-Tele Greenland -GRLTG,23-05-2018,6
29340-SI-Mobil-SVNSM,23-05-2018,101
29341-Mobitel Slovenia-SVNMT,23-05-2018,883
29364-T-2 d.o.o. Slovenia-SVNFT,23-05-2018,37
29401-Makedonski Telekomunikacii-MKDMM,23-05-2018,58
29505-Mobilkom-LIEMK,23-05-2018,16
29701-Telenor Montenegro-MNEPM,23-05-2018,29
29702-T-Mobile Montenegro-MNETM,23-05-2018,68
30222-Telus Canada-CANTS,23-05-2018,7614
30237-Microcell (Fido)-CANMC,23-05-2018,227
30261-Bell Mobility-CANBM,23-05-2018,6637
30272-Rogers Wireless -CANRW,23-05-2018,1368
31017-Cingular (Pacific Bell Services)-USAPB,23-05-2018,684
31026-T-Mobile- USAW6-USAW6,23-05-2018,53605
