imsi_prefix,date,Incoming data,Records count 
41903-Wataniya Telecom-KWTNM,19-05-2018,4164,147                                
42001-Saudi Telephone Company-SAUAJ,19-05-2018,6040,877                         
42003-Etihad Etisalat - Saudi Arabia-SAUET,19-05-2018,22114,1042                
42202-GTO Oman-OMNGT,19-05-2018,76,11                                           
42203-Oman Mobile - Oman-OMNNT,19-05-2018,25,9                                  
42402-Etisalat-ARETC,19-05-2018,19569,2453                                      
42403-United Arab Emirates-AREDU,19-05-2018,3556,1010                           
42501-Partner Communication-ISR01,19-05-2018,63540,30463                        
42502-Cellcom-ISRCL,19-05-2018,23692,1523                                       
42503-Pelephone, Israel-ISRPL,19-05-2018,541,181                                
42601-Bahrain Telecommunications-BHRBT,19-05-2018,235,16                        
42701-Qatar Telekom -QATQT,19-05-2018,24818,2519                                
43211-Iran TeleCom Co-IRN11,19-05-2018,221,62                                   
44010-NTT DoCoMo-JPNDO,19-05-2018,9774,2279                                     
44020-J-Phone-JPNJP,19-05-2018,361,231                                          
44050-KDDI-JPNKD,19-05-2018,4496,399                                            
44051-KDDI Japan-JPNKI,19-05-2018,2045,238                                      
45005-SK Korea-KORSK,19-05-2018,8658,2539                                       
45006-LG U+ South Korea-KORLU,19-05-2018,11048,676                              
45008-KT Freetel 3G-KORKF,19-05-2018,5154,766                                   
45202-GPC Vietnam-VNMVI,19-05-2018,1,12                                         
45400-Hong Kong CSL -HKGTC,19-05-2018,5990,811                                  
45403-Hutchison 3G (Hong Kong)-HKGH3,19-05-2018,3292,389                        
45406-SmarTone Mobile Hong Kong-HKGSM,19-05-2018,26341,2184                     
45412-Peoples Telephone Company -HKGPP,19-05-2018,1739,148                      
45419-Sunday 3G - Hong Kong-HKGM3,19-05-2018,2324,147                           
45601-CamGSM-KHMGM,19-05-2018,1,2                                               
46000-China Telecom-CHNCT,19-05-2018,99319,7607                                 
46001-China Unicom-CHNCU,19-05-2018,22761,6915                                  
46002-China Mobile - China-CHNCM,19-05-2018,13120,1232                          
46007-China Mobile 3rd-CHNTD,19-05-2018,4523,372                                
46601-Far EasTone Telecommunications-TWNFE,19-05-2018,262,14                    
46692-Chungwa Telecom LDM-TWNLD,19-05-2018,6771,554                             
